Transcript stable ID version	Gene stable ID	Gene name
ENSMUST00000208439.1	ENSMUSG00000030691	Fchsd2
ENSMUST00000032931.8	ENSMUSG00000030691	Fchsd2
ENSMUST00000098250.9	ENSMUSG00000030691	Fchsd2
ENSMUST00000046892.9	ENSMUSG00000033615	Cplx1
ENSMUST00000129040.1	ENSMUSG00000033615	Cplx1
ENSMUST00000057442.7	ENSMUSG00000047842	Diras2
ENSMUST00000107777.8	ENSMUSG00000035517	Tdrd7
ENSMUST00000102929.1	ENSMUSG00000035517	Tdrd7
ENSMUST00000002889.4	ENSMUSG00000002812	Flii
ENSMUST00000232709.1	ENSMUSG00000023930	Crisp2
ENSMUST00000233529.1	ENSMUSG00000023930	Crisp2
ENSMUST00000024724.13	ENSMUSG00000023930	Crisp2
ENSMUST00000144243.7	ENSMUSG00000023930	Crisp2
ENSMUST00000131699.7	ENSMUSG00000023930	Crisp2
ENSMUST00000114016.9	ENSMUSG00000046942	Mageb16
ENSMUST00000052283.6	ENSMUSG00000046942	Mageb16
